Title,Intervention,Health condition
"A randomized, open, comparative study of brodimoprim versus erythromycin in patients with acute tonsillitis or bronchitis",Antibiotic vs antibiotic,Pharyngitis / sore throat
Comparison of the clinical and bacteriological efficacy of clarithromycin and erythromycin in the treatment of streptococcal pharyngitis,Antibiotic vs antibiotic,Pharyngitis / sore throat
"Evaluation of the efficacy, safety and toleration of azithromycin vs. penicillin V in the treatment of acute streptococcal pharyngitis in children: results of a multicenter, open comparative study. The Swiss Tonsillopharyngitis Study Group. [see comments.]",Antibiotic vs antibiotic,Pharyngitis / sore throat
Streptococcal-A tonsillopharyngitis: a 5-day course of cefuroxime axetil versus a 10-day course of penicillin V. results depending on the children's age,Antibiotic vs antibiotic,Pharyngitis / sore throat
Clarithromycin vs penicillin in the treatment of streptococcal pharyngitis. [see comments.],Antibiotic vs antibiotic,Pharyngitis / sore throat
Taste Preferences of Less Pleasant-Tasting Antibiotic Suspensions in Children with Acute Otitis Media (AOM) and Tonsillitis (TS) (abstract),Antibiotic vs antibiotic,Pharyngitis / sore throat
Erythromycin therapy twice daily for streptococcal pharyngitis. Controlled comparison with erythromycin or penicillin phenoxymethyl four times daily or penicillin G benzathine,Antibiotic vs antibiotic,Pharyngitis / sore throat
Spiramycin and erythromycin in the treatment of acute tonsillo-pharyngitis: a comparative study,Antibiotic vs antibiotic,Pharyngitis / sore throat
Benzilpenicilina benzatina versus lincomicina em amigdalite aguda131 / Benzathine benzylpenicillin versus lincomycin in acute tonsillitis,Antibiotic vs antibiotic,Pharyngitis / sore throat
Comparative study of clarithromycin and penicillin V in the treatment of streptococcal pharyngitis,Antibiotic vs antibiotic,Pharyngitis / sore throat
Comparison of oral cephalosporins with penicillin therapy for group A streptococcal pharyngitis. [see comments.],Antibiotic vs antibiotic,Pharyngitis / sore throat
Potassium phenethicillin and potassium peincillin V in the treatment of group A streptococcal pharyngitis,Antibiotic vs antibiotic,Pharyngitis / sore throat
Treatment of pharyngitis associated with group A Streptococcus: comparison of amoxicillin and potassium phenoxymethyl penicillin,Antibiotic vs antibiotic,Pharyngitis / sore throat
Streptococcal pharyngitis therapy: comparison of clindamycin palmitate and potassium phenoxymethyl penicillin,Antibiotic vs antibiotic,Pharyngitis / sore throat
"Streptococcal pharyngitis therapy. Comparison of cephalexin, phenoxymethyl penicillin, and ampicillin",Antibiotic vs antibiotic,Pharyngitis / sore throat
Five versus ten days treatment of group A streptococcal pharyngotonsillitis: a randomized controlled clinical trial with phenoxymethylpenicillin and cefadroxil,Antibiotic vs antibiotic,Pharyngitis / sore throat
Randomized comparative trial of cefpodoxime proxetil and penicillin VK in the treatment of Streptococcus pyogenes pharyngitis,Antibiotic vs antibiotic,Pharyngitis / sore throat
Treatment of acute tonsillo-pharyngitis: a comparative study of spiramycin and erythromycin,Antibiotic vs antibiotic,Pharyngitis / sore throat
"Two dosages of clarithromycin for five days, amoxicillin/clavulanate for five days or penicillin V for ten days in acute group A streptococcal tonsillopharyngitis",Antibiotic vs antibiotic,Pharyngitis / sore throat
"Comparison of 5 days of extended-release clarithromycin versus 10 days of penicillin V for the treatment of streptococcal pharyngitis/tonsillitis: Results of a multicenter, double-blind, randomized study in adolescent and adult patients",Antibiotic vs antibiotic,Pharyngitis / sore throat
Lack of influence of beta-lactamase-producing flora on recovery of group A streptococci after treatment of acute pharyngitis,Antibiotic vs antibiotic,Pharyngitis / sore throat
Amoxycillin and co-trimoxazole in presumed viral respiratory infections of childhood: placebo-controlled trial,Antibiotic vs antibiotic,Pharyngitis / sore throat
[Clarithromycin versus penicillin in the treatment of group A streptococcal pharyngitis in children],Antibiotic vs antibiotic,Pharyngitis / sore throat
Impact on peritonsillar infections and microflora of phenoxymethylpenicillin alone versus phenoxymethylpenicillin in combination with metronidazole,Antibiotic vs antibiotic,Pharyngitis / sore throat
Azithromycin compared with clarithromycin for the treatment of streptococcal pharyngitis in children,Antibiotic vs antibiotic,Pharyngitis / sore throat
Comparison of dirithromycin and penicillin for treatment of streptococcal pharyngitis,Antibiotic vs antibiotic,Pharyngitis / sore throat
Multicentre comparison of azithromycin versus erythromycin in the treatment of paediatric pharyngitis or tonsillitis caused by group A streptococci,Antibiotic vs antibiotic,Pharyngitis / sore throat
Oral Telithromycin (HMR 3647; 800mg OD) for 5 Days is Well Tolerated and as Effective as Clarithromycin (250mg BID) for 10 Days in Group A b-Hemolytic Streptococcal Pharyngitis/Tonsillitis,Antibiotic vs antibiotic,Pharyngitis / sore throat
A comparative study of spiramycin and erythromycin in acute tonsillo-pharyngitis,Antibiotic vs antibiotic,Pharyngitis / sore throat
Comparative study of the effectiveness of cefixime and penicillin V for the treatment of streptococcal pharyngitis in children and adolescents,Antibiotic vs antibiotic,Pharyngitis / sore throat
Comparative study of cefixime and penicillin V for the treatment of acute Streptococcal pharyngitis in children,Antibiotic vs antibiotic,Pharyngitis / sore throat
Effect of penicillin and aureomycin on the natural course of streptococcal tonsillitis and pharyngitis,Antibiotic vs antibiotic,Pharyngitis / sore throat
Medical treatment of non-streptococcal recurrent tonsillitis,Antibiotic vs antibiotic,Pharyngitis / sore throat
"Open-Label, parallel-group, multicenter, randomized study of cefprozil versus erythromycin in children with group A streptococcal pharyngitis/tonsillitis",Antibiotic vs antibiotic,Pharyngitis / sore throat
Effect of penicillin or cefprozil therapy on tonsillar flora,Antibiotic vs antibiotic,Pharyngitis / sore throat
"Treatment of patients with a history of recurrent tonsillitis due to group A beta-hemolytic streptococci. A prospective randomized study comparing penicillin, erythromycin, and clindamycin",Antibiotic vs antibiotic,Pharyngitis / sore throat
Comparison of oral cefpodoxime proxetil and penicillin V potassium in the treatment of group A streptococcal pharyngitis/tonsillitis. The Cefpodoxime Pharyngitis Study Group,Antibiotic vs antibiotic,Pharyngitis / sore throat
A double-blind randomized trial comparing the efficacy and safety of a 5-day course of cefotiam hexetil with that of a 10-day course of penicillin V in adult patients with pharyngitis caused by group A beta-haemolytic streptococci,Antibiotic vs antibiotic,Pharyngitis / sore throat
Economic analysis of antibiotic regimens used in the treatment pharyngitis: a prospective comparison of azithromycin versus roxithromycin,Antibiotic vs antibiotic,Pharyngitis / sore throat
[The importance of beta hemolytic streptococcus groups in childhood pharyngitis and the comparison of penicillin G procaine and cefuroxime axetile in the treatment of streptococcal pharyngitis],Antibiotic vs antibiotic,Pharyngitis / sore throat
"Treatment of acute sore throat in general practice: therapeutic trial, with observations of symptoms and bacteriology",Antibiotic vs antibiotic,Pharyngitis / sore throat
Penicillin V and rifampin for the treatment of group A streptococcal pharyngitis: a randomized trial of 10 days penicillin vs 10 days penicillin with rifampin during the final 4 days of therapy,Antibiotic vs antibiotic,Pharyngitis / sore throat
Comparative efficacy and safety of cefprozil (BMY-28100) and cefaclor in the treatment of acute group A beta-hemolytic streptococcal pharyngitis,Antibiotic vs antibiotic,Pharyngitis / sore throat
Comparative efficacy of spiramycin and erythromycin in acute exudative tonsillitis in adults: a randomized controlled trial,Antibiotic vs antibiotic,Pharyngitis / sore throat
Pharmacodynamic effects of amoxicillin versus cefotaxime against penicillin-susceptible and penicillin-resistant pneumococcal strains: a phase I study,Antibiotic vs antibiotic,Pneumococcus
Gemifloxacin once daily for 7 days compared to amoxicillin/clavulanic acid thrice daily for 10 days for the treatment of community-acquired pneumonia of suspected pneumococcal origin,Antibiotic vs antibiotic,Pneumococcus
Evaluation of roxithromycin (RU-965) versus cephradine in pneumococcal pneumonia,Antibiotic vs antibiotic,Pneumococcus
A comparative study of the treatment of presumed pneumococcal pneumonia: parenteral penicillin and clindamycin with continuation on oral therapy,Antibiotic vs antibiotic,Pneumococcus
Atypical pneumonia in the Nordic countries: aetiology and clinical results of a trial comparing fleroxacin and doxycycline. Nordic Atypical Pneumonia Study Group,Antibiotic vs antibiotic,Pneumonia
Efficacy and safety of tigecycline versus levofloxacin for community-acquired pneumonia,Antibiotic vs antibiotic,Pneumonia
"Quantitative assessment of chest radiographs to evaluate the efficacy of ceftazidime versus ceftriaxone in a randomized, double-blind study in adults with community-acquired pneumonia",Antibiotic vs antibiotic,Pneumonia
Comparison of cefamandole and cefazolin for initial treatment of community-acquired pneumonia,Antibiotic vs antibiotic,Pneumonia
"Trovafloxacin vs high dose amoxicillin in the treatment of community-acquired bacterial pneumonia. Results of a multicentre, double-blind study",Antibiotic vs antibiotic,Pneumonia
Comparison of early intravenous to oral switch amoxicillin/clavulanate with parenteral ceftriaxone in treatment of hospitalized patients with community acquires pneumonia,Antibiotic vs antibiotic,Pneumonia
Tigecycline versus levofloxacin for the treatment of community-acquired pneumonia: European experience,Antibiotic vs antibiotic,Pneumonia
"Comparative tolerability of intravenous erythromycin and clarithromycin in hospitalised patients with community-acquired pneumonia: Results of a double-blind, randomised, prospective study",Antibiotic vs antibiotic,Pneumonia
"Sparfloxacin versus cefaclor in the treatment of patients with community-acquired pneumonia: a randomized, double-masked, comparative, multicenter study",Antibiotic vs antibiotic,Pneumonia
Comparison of cefdinir and cefaclor in treatment of community-acquired pneumonia,Antibiotic vs antibiotic,Pneumonia
Cost-effectiveness of gatifloxacin vs ceftriaxone with a macrolide for the treatment of community-acquired pneumonia,Antibiotic vs antibiotic,Pneumonia
An economic evaluation of sequential i.v./po moxifloxacin therapy compared to i.v./po co-amoxiclav with or without clarithromycin in the treatment of community-acquired pneumonia,Antibiotic vs antibiotic,Pneumonia
Efficacy and tolerability of once-daily oral telithromycin compared with clarithromycin for the treatment of community-acquired pneumonia in adults,Antibiotic vs antibiotic,Pneumonia
"Efficacy and safety of gemifloxacin in the treatment of community-acquired pneumonia: a randomized, double-blind comparison with trovafloxacin.[comment]",Antibiotic vs antibiotic,Pneumonia
"A multicenter, randomized study comparing the efficacy and safety of intravenous and/or oral levofloxacin versus ceftriaxone and/or cefuroxime axetil in treatment of adults with community-acquired pneumonia",Antibiotic vs antibiotic,Pneumonia
Randomized controlled trial of sequential intravenous (i.v.) and oral moxifloxacin compared with sequential i.v. and oral co-amoxiclav with or without clarithromycin in patients with community-acquired pneumonia requiring initial parenteral treatment,Antibiotic vs antibiotic,Pneumonia
"A comparison of cefditoren pivoxil and amoxicillin/ clavulanate in the treatment of community-acquired pneumonia: a multicenter, prospective, randomized, investigator-blinded, parallel-group study",Antibiotic vs antibiotic,Pneumonia
"A multicenter, open-label, randomized comparison of levofloxacin and azithromycin plus ceftriaxone in hospitalized adults with moderate to severe community-acquired pneumonia",Antibiotic vs antibiotic,Pneumonia
[Levofloxacin versus beta-lactamic therapy in community acquired pneumonia that requires hospitalization].[comment].,Antibiotic vs antibiotic,Pneumonia
Clarithromycin versus amoxicillin-clavulanic acid in the treatment of community-acquired pneumonia,Antibiotic vs antibiotic,Pneumonia
"A controlled, double-blind, multicenter study comparing clarithromycin extended-release tablets and levofloxacin tablets in the treatment of community-acquired pneumonia",Antibiotic vs antibiotic,Pneumonia
IV cefuroxime plus oral clarithromycin or IV erythromycin for the treatment of community-acquired pneumonia in hospitalised patients. A pilot study,Antibiotic vs antibiotic,Pneumonia
Randomized double-blind trial of the comparative efficacy and safety of cefpodoxime proxetil and cefaclor in the treatment of acute community-acquired pneumonia,Antibiotic vs antibiotic,Pneumonia
Single-blind controlled study of ceftizoxime and cefamandole in the treatment of community-acquired pneumonia,Antibiotic vs antibiotic,Pneumonia
[Comparative study of ofloxacin versus erythromycin in the treatment of community-acquired pneumonia],Antibiotic vs antibiotic,Pneumonia
Efficacy and tolerability of once-daily telithromycin compared with high-dose amoxicillin for treatment of community-acquired pneumonia,Antibiotic vs antibiotic,Pneumonia
Efficacy of the teicoplanin-ciprofloxacin combination in high risk community acquired pneumonia: Comparison to ceftriaxone in a multicenter study,Antibiotic vs antibiotic,Pneumonia
A clinical and economic study of community-acquired pneumonia between single versus combination therapy,Antibiotic vs antibiotic,Pneumonia
Comparison of oral cefuroxime axetil and oral amoxycillin/clavulanate in the treatment of community-acquired pneumonia,Antibiotic vs antibiotic,Pneumonia
Hospitalized patients with community-acquired pneumonia in Hong Kong: a randomized study comparing imipenem/cilastatin and ceftazidime,Antibiotic vs antibiotic,Pneumonia
The efficacy and safety of two oral moxifloxacin regimens compared to oral clarithromycin in the treatment of community-acquired pneumonia,Antibiotic vs antibiotic,Pneumonia
A randomized comparative study on the safety and efficacy of clarithromycin and erythromycin in treating community-acquired pneumonia,Antibiotic vs antibiotic,Pneumonia
[Comparative study on cefdinir and cefaclor in the treatment of patients with mild to moderate bacterial community acquired pneumonia.],Antibiotic vs antibiotic,Pneumonia
Sequential intravenous/oral ciprofloxacin compared with parenteral ceftriaxone in the treatment of hospitalized patients with community- acquired pneumonia,Antibiotic vs antibiotic,Pneumonia
A comparative safety and efficacy study of clarithromycin and erythromycin stearate in community-acquired pneumonia,Antibiotic vs antibiotic,Pneumonia
Levofloxacin versus zithromax in moderate to severe community-acquired pneumonia (abstract),Antibiotic vs antibiotic,Pneumonia
[Oral levofloxacin versus intravenous ceftriaxone and amoxicillin/clavulanic acid in the treatment of community-acquired pneumonia that requires hospitalization]. [Spanish],Antibiotic vs antibiotic,Pneumonia
Comparative randomized trial of azithromycin versus erythromycin and amoxicillin for treatment of community-acquired pneumonia in children,Antibiotic vs antibiotic,Pneumonia
"Clinical efficacy and safety of a short regimen of azithromycin sequential therapy vs standard cefuroxime sequential therapy in the treatment of community-acquired pneumonia: an international, randomized, open-label study",Antibiotic vs antibiotic,Pneumonia
Community-Acquired Pneumonia Recovery in the Elderly (CAPRIE): efficacy and safety of moxifloxacin therapy versus that of levofloxacin therapy,Antibiotic vs antibiotic,Pneumonia
Gemifloxacin once daily for 7 days compared to amoxicillin/clavulanic acid thrice daily for 10 days for the treatment of community-acquired pneumonia of suspected pneumococcal origin,Antibiotic vs antibiotic,Pneumonia
Comparison of levofloxacin and cefotaxime combined with ofloxacin for ICU patients with community-acquired pneumonia who do not require vasopressors,Antibiotic vs antibiotic,Pneumonia
"An open-label, randomized comparison of levofloxacin and amoxicillin/clavulanate plus clarithromycin for the treatment of hospitalized patients with community-acquired pneumonia",Antibiotic vs antibiotic,Pneumonia
"Oral gemifloxacin versus sequential therapy with intravenous ceftriaxone/oral cefuroxime with or without a macrolide in the treatment of patients hospitalized with community-acquired pneumonia: a randomized, open-label, multicenter study of clinical efficacy and tolerability",Antibiotic vs antibiotic,Pneumonia
"Treatment of community-acquired pneumonia: a randomized comparison of sparfloxacin, amoxycillin-clavulanic acid and erythromycin. [see comments.]",Antibiotic vs antibiotic,Pneumonia
The effectiveness and safety of ceftriaxone to cefetamet pivoxil vs ceftazidime to cefetamet pivoxil vs cefoperazone to cefetamet pivoxil in the treatment of community-acquired pneumonia in adult Filipinos,Antibiotic vs antibiotic,Pneumonia
"Treatment of community acquired pneumonia with single daily doses of 1g or 2g cefodizime or 1g 2g ceftriaxone when given for at least 5 days: an international open, randomised controlled study in 770 patients [abstract]",Antibiotic vs antibiotic,Pneumonia
"Safety and tolerability of ertapenem versus ceftriaxone in a double-blind study performed in children with complicated urinary tract infection, community-acquired pneumonia or skin and soft-tissue infection",Antibiotic vs antibiotic,Pneumonia
A multicenter study of grepafloxacin and clarithromycin in the treatment of patients with community-acquired pneumonia,Antibiotic vs antibiotic,Pneumonia
Chloramphenicol versus ampicillin plus gentamicin for community acquired very severe pneumonia among children aged 2-59 months in low resource settings: multicentre randomised controlled trial (SPEAR study).[see comment],Antibiotic vs antibiotic,Pneumonia
[Evaluation of ciprofloxacin versus amoxicillin + clavulanic acid or erythromycin for the empiric treatment of community-acquired pneumonia]. [French],Antibiotic vs antibiotic,Pneumonia
A randomized trial of chloramphenicol vs. trimethoprim-sulfamethoxazole for the treatment of malnourished children with community-acquired pneumonia,Antibiotic vs antibiotic,Pneumonia
Comparison of oral amoxicillin and intravenous benzyl penicillin for community acquired pneumonia in children (PIVOT trial): a multicentre pragmatic randomised controlled equivalence trial,Antibiotic vs antibiotic,Pneumonia
Pivot trial a multicentre randomised controlled equivalence trial comparing oral amoxycillan and intravenous penicillin for community aquired pneumonia in children [abstract],Antibiotic vs antibiotic,Pneumonia
Ceftibuten vs. cefuroxime-axetil in initial therapy for community-acquired bronchopneumonia: Randomized multicentric study in 140 children,Antibiotic vs antibiotic,Pneumonia
"Randomized, double-blind, comparative study of grepafloxacin and amoxycillin in the treatment of patients with community-acquired pneumonia",Antibiotic vs antibiotic,Pneumonia
"Randomized, multicentre study of the efficacy and tolerance of azithromycin versus clarithromycin in the treatment of adults with mild to moderate community-acquired pneumonia. Azithromycin Study Group",Antibiotic vs antibiotic,Pneumonia
Cefuroxime compared to amoxicillin-clavulanic acid in the treatment of community-acquired pneumonia. [see comments.],Antibiotic vs antibiotic,Pneumonia
"A study evaluating the efficacy, safety, and tolerability of ertapenem versus ceftriaxone for the treatment of community-acquired pneumonia in adults",Antibiotic vs antibiotic,Pneumonia
"Oral empiric treatment of community-acquired pneumonia. A multicenter, double-blind, randomized study comparing sparfloxacin with roxithromycin. The Scandinavian Sparfloxacin Study Group",Antibiotic vs antibiotic,Pneumonia
"Comparative efficacy of amoxicillin, cefuroxime and clarithromycin in the treatment of community -acquired pneumonia in children",Antibiotic vs antibiotic,Pneumonia
Cost-effectiveness of IV-to-oral switch therapy: azithromycin vs cefuroxime with or without erythromycin for the treatment of community-acquired pneumonia,Antibiotic vs antibiotic,Pneumonia
Efficacy and safety of azithromycin 1 g once daily for 3 days in the treatment of community-acquired pneumonia: an open-label randomised comparison with amoxicillin-clavulanate 875/125 mg twice daily for 7 days,Antibiotic vs antibiotic,Pneumonia
"A prospective, randomized, multicenter comparative study of clinafloxacin versus a ceftriaxone-based regimen in the treatment of hospitalized patients with community-acquired pneumonia",Antibiotic vs antibiotic,Pneumonia
Comparative study of clarithromycin and roxithromycin in the treatment of community-acquired pneumonia,Antibiotic vs antibiotic,Pneumonia
[Efficacy and safety of pristinamycin versus amoxicillin + clavulanic acid in the treatment of community-acquired pneumonia in adults],Antibiotic vs antibiotic,Pneumonia
Moxifloxacin monotherapy compared to amoxicillin-clavulanate plus roxithromycin for nonsevere community-acquired pneumonia in adults with risk factors,Antibiotic vs antibiotic,Pneumonia
Comparative efficacy of sparfloxacin in comparison with amoxycillin plus ofloxacin in the treatment of community-acquired pneumonia,Antibiotic vs antibiotic,Pneumonia
A multicenter comparative study of cefepime versus broad-spectrum antibacterial therapy in moderate and severe bacterial infections,Antibiotic vs antibiotic,Pneumonia
Efficacy and tolerability of once-daily oral therapy with telithromycin compared with trovafloxacin for the treatment of community-acquired pneumonia in adults,Antibiotic vs antibiotic,Pneumonia
Azithromycin versus comparative therapy for the treatment of community acquired pneumonia,Antibiotic vs antibiotic,Pneumonia
Sparfloxacin versus clarithromycin in the treatment of community-acquired pneumonia,Antibiotic vs antibiotic,Pneumonia
An economic evaluation of levofloxacin versus cefuroxime axetil in the outpatient treatment of adults with community-acquired pneumonia,Antibiotic vs antibiotic,Pneumonia
Efficacy and tolerability of a teicoplanin-ciprofloxacin combination in severe community-acquired pneumonia. Comparison with ceftriaxone in a multicentre Italian Study,Antibiotic vs antibiotic,Pneumonia
Carbapenems in the treatment of severe community-acquired pneumonia in hospitalized elderly patients: a comparative study against standard therapy,Antibiotic vs antibiotic,Pneumonia
Usefulness of betalactam therapy for community-acquired pneumonia in the era of drug-resistant Streptococcus pneumoniae: a randomized study of amoxicillin-clavulanate and ceftriaxone,Antibiotic vs antibiotic,Pneumonia
Treatment of community-acquired pneumonia in outpatients: randomized study of clarithromycin alone versus clarithromycin and cefuroxime. [see comments.],Antibiotic vs antibiotic,Pneumonia
[Pharmacoeconomic analysis of community-acquired pneumonia treatment with telithromycin or clarithromycin],Antibiotic vs antibiotic,Pneumonia
Comparison of roxithromycin with cefixime in the treatment of adults with community-acquired pneumonia,Antibiotic vs antibiotic,Pneumonia
Is azithromycin the first-choice macrolide for treatment of community-acquired pneumonia?,Antibiotic vs antibiotic,Pneumonia
"[Prospective and comparative study between cefuroxime, ceftriaxone and amoxicillin-clavulanic acid in the treatment of community-acquired pneumonia]",Antibiotic vs antibiotic,Pneumonia
"A prospective, double-blind, multicenter study comparing clarithromycin extended-release with trovafloxacin in patients with community-acquired pneumonia",Antibiotic vs antibiotic,Pneumonia
Multicenter randomized trial comparing meropenem (1.5 g daily) and imipenem/cilastatin (2 g daily) in the hospital treatment of community-acquired pneumonia,Antibiotic vs antibiotic,Pneumonia
"Clinical and bacteriological outcomes in hospitalised patients with community-acquired pneumonia treated with azithromycin plus ceftriaxone, or ceftriaxone plus clarithromycin or erythromycin: a prospective, randomised, multicentre study",Antibiotic vs antibiotic,Pneumonia
Clinical and bacteriological efficacy and safety of 5 and 7 day regimens of telithromycin once daily compared with a 10 day regimen of clarithromycin twice daily in patients with mild to moderate community-acquired pneumonia,Antibiotic vs antibiotic,Pneumonia
Comparison between pathogen directed antibiotic treatment and empirical broad spectrum antibiotic treatment in patients with community acquired pneumonia: a prospective randomised study,Antibiotic vs antibiotic,Pneumonia
"Cefditoren pivoxil versus cefpodoxime proxetil for community-acquired pneumonia: results of a multicenter, prospective, randomized, double-blind study",Antibiotic vs antibiotic,Pneumonia
"Azithromycin vs cefuroxime plus erythromycin for empirical treatment of community-acquired pneumonia in hospitalized patients: a prospective, randomized, multicenter trial",Antibiotic vs antibiotic,Pneumonia
Penicillin as Effective as Cefuroxime among Children Hospitalized for Parenteral Antimicrobics (abstract),Antibiotic vs antibiotic,Pneumonia
Comparative trial of cefonicid and cefamandole in the therapy of community-acquired pneumonia,Antibiotic vs antibiotic,Pneumonia
Ampicillin versus cefamandole as initial therapy for community-acquired pneumonia,Antibiotic vs antibiotic,Pneumonia
Treatment with sequential intravenous or oral moxifloxacin was associated with faster clinical improvement than was standard therapy for hospitalized patients with community-acquired pneumonia who received initial parenteral therapy,Antibiotic vs antibiotic,Pneumonia
Randomized comparative trial with ampicillin/sulbactam versus cefamandole in the therapy of community acquired pneumonia,Antibiotic vs antibiotic,Pneumonia
Etiology and treatment of community-acquired pneumonia in ambulatory children,Antibiotic vs antibiotic,Pneumonia
Clinical comparative study of sulbactam/ampicillin and imipenem/cilastatin in elderly patients with community-acquired pneumonia,Antibiotic vs antibiotic,Pneumonia
Comparative efficacies and tolerabilities of intravenous azithromycin plus ceftriaxone and intravenous levofloxacin with step-down oral therapy for hospitalized patients with moderate to severe community-acquired pneumonia,Antibiotic vs antibiotic,Pneumonia
Cefepime versus ceftriaxone for empiric treatment of hospitalized patients with community-acquired pneumonia. The Cefepime Study Group. [see comments.],Antibiotic vs antibiotic,Pneumonia
"Integrated analysis of FOCUS 1 and FOCUS 2: randomized, doubled-blinded, multicenter phase 3 trials of the efficacy and safety of ceftaroline fosamil versus ceftriaxone in patients with community-acquired pneumonia",Antibiotic vs antibiotic,Pneumonia
"An open, randomized, comparative study of clarithromycin and erythromycin in the treatment of children with community-acquired pneumonia",Antibiotic vs antibiotic,Pneumonia
Efficacy and safety of nemonoxacin versus levofloxacin for community-acquired pneumonia,Antibiotic vs antibiotic,Pneumonia
A comparative study of meropenem and ceftazidime in the treatment of patients hospitalized with community-acquired pneumonia,Antibiotic vs antibiotic,Pneumonia
Comparison of cefadroxil and cephalexin in the treatment of community-acquired pneumonia,Antibiotic vs antibiotic,Pneumonia
Mycoplasma pneumoniae and Chlamydia pneumoniae in pediatric community-acquired pneumonia: comparative efficacy and safety of clarithromycin vs. erythromycin ethylsuccinate,Antibiotic vs antibiotic,Pneumonia
Efficacy and safety of azithromycin versus benzylpenicillin or erythromycin in community-acquired pneumonia,Antibiotic vs antibiotic,Pneumonia
A randomized trial of cefepime and ceftazidime for the treatment of community-acquired pneumonia,Antibiotic vs antibiotic,Pneumonia
Trial of co-trimoxazole versus procaine penicillin with ampicillin in treatment of community-acquired pneumonia in young Gambian children. [see comments.],Antibiotic vs antibiotic,Pneumonia
Comparative study of levofloxacin and amoxycillin/clavulanic acid in adults with mild-to-moderate community-acquired pneumonia,Antibiotic vs antibiotic,Pneumonia
Efficacy and safety of temafloxacin versus those of amoxicillin in hospitalized adults with community-acquired pneumonia,Antibiotic vs antibiotic,Pneumonia
"Treatment of community-acquired pneumonia. A multicenter, double-blind, randomized study comparing clarithromycin with erythromycin. Canada-Sweden Clarithromycin-Pneumonia Study Group",Antibiotic vs antibiotic,Pneumonia
Treatment of gram-positive nosocomial pneumonia. Prospective randomized comparison of quinupristin/dalfopristin versus vancomycin. Nosocomial Pneumonia Group,Antibiotic vs antibiotic,Pneumonia
A randomised comparative trial of aztreonam plus cefazolin versus ceftazidime for the treatment of nosocomial pneumonia,Antibiotic vs antibiotic,Pneumonia
Nosocomial pneumonia: comparative multicentre trial between monotherapy with cefotaxime and treatment with antibiotic combinations,Antibiotic vs antibiotic,Pneumonia
Comparative clinical trial of ceftazidime and imipenem/cilastatin in patients with severe nosocomial pneumonias and septicaemias,Antibiotic vs antibiotic,Pneumonia
A randomized study of sequential intravenous/oral moxifloxacin in comparison to sequential intravenous ceftriaxone/oral cefuroxime axetil in patients with hospital-acquired pneumonia.[see comment],Antibiotic vs antibiotic,Pneumonia
Linezolid versus vancomycin for treatment of resistant Gram-positive infections in children,Antibiotic vs antibiotic,Pneumonia
Controlled clinical study of ceftazidime (3 x 1 g daily) versus piperacillin + tobramycin in patients with nosocomial pneumonia,Antibiotic vs antibiotic,Pneumonia
Cefoperazone versus ceftazidime monotherapy of nosocomial pneumonia,Antibiotic vs antibiotic,Pneumonia
Cefoperazone versus combination antibiotic therapy of hospital-acquired pneumonia [published erratum appears in Am J Med 1988 Apr;84(4):800],Antibiotic vs antibiotic,Pneumonia
Cefoperazone versus ceftriaxone monotherapy of nosocomial pneumonia,Antibiotic vs antibiotic,Pneumonia
Nosocomial pneumonia: third-group chinolone versus clindamycin/ceftriaxone in modulation of the acute phase reaction and outcome and cost efficacy,Antibiotic vs antibiotic,Pneumonia
"Prospective, randomized comparison of intravenous and oral ciprofloxacin with intravenous ceftazidime in the treatment of nosocomial pneumonia",Antibiotic vs antibiotic,Pneumonia
Treatment with aztreonam or tobramycin in critical care patients with nosocomial gram-negative pneumonia,Antibiotic vs antibiotic,Pneumonia
Ertapenem versus cefepime for initial empirical treatment of pneumonia acquired in skilled-care facilities or in hospitals outside the intensive care unit.[see comment],Antibiotic vs antibiotic,Pneumonia
"Efficacy and safety of doripenem versus piperacillin/tazobactam in nosocomial pneumonia: a randomized, open-label, multicenter study",Antibiotic vs antibiotic,Pneumonia
[Multicentre study of comparative efficacy of meropenem and combined regimens for empirical antibacterial therapy of severe nosocomial infections: results of clinical and pharmacoeconomic analysis],Antibiotic vs antibiotic,Pneumonia
Comparison of tigecycline with imipenem/cilastatin for the treatment of hospital-acquired pneumonia,Antibiotic vs antibiotic,Pneumonia
Telavancin versus vancomycin for hospital-acquired pneumonia due to gram-positive pathogens,Antibiotic vs antibiotic,Pneumonia
Efficacy and safety evaluation of fixed dose combination of cefepime and amikacin in comparison with cefepime alone in treatment of nosocomial pneumonia patients,Antibiotic vs antibiotic,Pneumonia
Randomized trial of cefoperazone against aminoglycosides in patients with infective lung disease (abstract),Antibiotic vs antibiotic,Pneumonia
Ceftazidime versus tobramycin-ticarcillin in the treatment of pneumonia and bacteremia,Antibiotic vs antibiotic,Pneumonia
Ampicillin plus mecillinam vs. cefotaxime/cefadroxil treatment of patients with severe pneumonia or pyelonephritis: a double-blind multicentre study evaluated by intention-to-treat analysis,Antibiotic vs antibiotic,Pneumonia
Parenteral-oral switch in the management of paediatric pneumonia,Antibiotic vs antibiotic,Pneumonia
Comparing gatifloxacin and clarithromycin in pneumonia symptom resolution and process of care,Antibiotic vs antibiotic,Pneumonia
Effectiveness of ampicillin and combination of penicillin and chloramphenicol in the treatment of pneumonias: randomized controlled trial,Antibiotic vs antibiotic,Pneumonia
