Title,Intervention,Health condition,,,,,,,,,,
"Effects of creating a non-specific, virus-hostile environment in the nasopharynx on symptoms and duration of common cold",decontamination,Common cold,,,,,,,,,,
The effect of monthly gamma-globulin administration on morbidity and mortality from infection in premature infants during the first year of life,Immunoglobulin,Measles,,Further investigation was required,,,,,,,,
Immunotherapy of children with the help of a multibacterial ribosomal preparation,Immunostimulant,ARI,,Further investigation was required,,,,,,,,
Effects of the nasal decongestant oxymetazoline on human olfactory and intranasal trigeminal function in acute rhinitis,nasal decongestant,Common cold,,,,,,,,,,
Comparison of bronchoalveolar lavage and catheter lavage to confirm ventilator-associated lower respiratory tract infection. [see comments.],lavage,LRTI,,,,,,,,,,
[A clinical study of selective gut decolonization in 204 long-term ventilated intensive care patients undergoing abdominal and accident surgery],decontamination,pneumonia,,Further investigation was required,,,,,,,,
The clinical effects of vitamin C supplementation in elderly hospitalised patients with acute respiratory infections,Vitamin C,ARI,,,,,,,,,,
A comparison of cefaclor and tetracycline in the treatment of bacterial bronchitis,Antibiotic vs antibiotic,Bronchitis,,,,,,,,,,
"Comparison of conventional mechanical ventilation and high-frequency ventilation. A prospective, randomized trial in patients with respiratory failure",ventilation,respiratory failure,,,,,,,,,,
"Studies of the 1996-1997 inactivated influenza vaccine among children attending day care: immunologic response, protection against infection, and clinical effectiveness",Vaccination,ARI,,,,,,,,,,
Effectiveness of influenza vaccination of day care children in reducing influenza-related morbidity among household contacts,Vaccination,Influenza,,,,,,,,,,
"Treatment of croup with nebulised steroid (budesonide): a double blind, placebo controlled study",corticosteroid,croup,,,,,,,,,,
Indomethacin has a potent antiviral activity against SARS coronavirus,NSAID,SARS,,,,,,,,,,
Antibiotic treatment of sinusitis in general practice. A double-blind study comparing ofloxacin and erythromycin,Antibiotic vs antibiotic,sinusitis,,,,,,,,,,
"A randomized, controlled trial of vitamin A in children with severe measles. [see comments.]",vitamin A,measles,,,,,,,,,,
"Effectiveness of an antihistamine-decongestant combination for young children with the common cold: a randomized, controlled clinical trial",Nasal decongestant,common cold,,,,,,,,,,
"Effectiveness of an antihistamine-decongestant combination for young children with the common cold: a randomized, controlled clinical trial",Antihistamine,Common cold,,,,,,,,,,
Modeling the response of pneumonia to antimicrobial therapy,Antibiotics,pneumonia,,,,,,,,,,
"The evaluation of intranasal topical beclomethasone spray in the treatment of children with non-purulent rhinitis using rhinometric, cytologic and symptomatologic assessment",corticosteroid,Common cold,,,,,,,,,,
Loracarbef (LY163892) versus amoxicillin/clavulanate in bronchopneumonia and lobar pneumonia,Antibiotic vs antibiotic,pneumonia,,,,,,,,,,
The clinical efficacy of ticarcillin/clavulanate in severe pneumonia. [Russian],Antibiotics,pneumonia,,,,,,,,,,
Clinical trials of ofloxacin in sequential use (intravenous and oral) in patients with serious hospital infection. [Russian],Antibiotics,pneumonia,,Further investigation was required,,,,,,,,
[Multicenter open randomized trial of meropenem in comparison to ceftazidime and amikacin used in combination in severe hospital infections]. [Russian],Antibiotic vs antibiotic,LRTI,,Further investigation was required,,,,,,,,
Comparative evaluation of cefixime versus amoxicillin-clavulanate following ceftriaxone therapy of pneumonia,Antibiotic vs antibiotic,pneumonia,,,,,,,,,,
[Heliox-driven bronchodilator nebulization in the treatment of infants with bronchiolitis],Bronchodilator,bronchiolitis,,,,,,,,,,
[The efficacy of influenza vaccine among geriatric inpatients]. [Japanese],Vaccination,Influenza,,,,,,,,,,
"Attenuation of influenza A/New Jersey/76 virus strain, preparation of live vaccine and vaccine reactogenicity in volunteers",Vaccination,Influenza,,,,,,,,,,
HI antibody response in volunteers vaccinated with live influenza A/New Jersey/76 vaccine,Vaccination,Influenza,,,,,,,,,,
Modification of general practitioner prescribing of antibiotics by use of a therapeutics adviser (academic detailer),antibiotics,OM,,further investigation was required,,,,,,,,
Modification of general practitioner prescribing of antibiotics by use of a therapeutics adviser (academic detailer),antibiotics,LRTI,,further investigation was required,,,,,,,,
Modification of general practitioner prescribing of antibiotics by use of a therapeutics adviser (academic detailer),Antibiotics,URTI,,further investigation was required,,,,,,,,
"[Acute infectious exacerbations in chronic obstructive lung disease and effects of azithromycine, sultamycilline, ciprofloxacin and cefaclor monohydrate]",Antibiotic vs antibiotic,ARI,,,,,,,,,,
Antibody responses and HIV-1 viral load in HIV-1-seropositive subjects immunised with either the MF59-adjuvanted influenza vaccine or a conventional non-adjuvanted subunit vaccine during highly active antiretroviral therapy,Vaccination,Influenza,,,,,,,,,,
Effect of choice of measles-mumps-rubella vaccine on immediate vaccination pain in infants.[see comment],Vaccination,rubella,,,,,,,,,,
Effect of choice of measles-mumps-rubella vaccine on immediate vaccination pain in infants.[see comment],Vaccination,mumps,,,,,,,,,,
Effect of choice of measles-mumps-rubella vaccine on immediate vaccination pain in infants.[see comment],Vaccination,Measles,,,,,,,,,,
Acetaminophen prophylaxis of adverse reactions following vaccination of infants with Diptheria-pertussis-tetanus toxoids-polio vaccine,Vaccination,polio,,QUERY - how does paracetamol fit into this classification?,,,,,,,,
Acetaminophen prophylaxis of adverse reactions following vaccination of infants with Diptheria-pertussis-tetanus toxoids-polio vaccine,Vaccination,tetanus,,,,,,,,,,
Acetaminophen prophylaxis of adverse reactions following vaccination of infants with Diptheria-pertussis-tetanus toxoids-polio vaccine,Vaccination,pertussis,,,,,,,,,,
Acetaminophen prophylaxis of adverse reactions following vaccination of infants with Diptheria-pertussis-tetanus toxoids-polio vaccine,Vaccination, Diptheria,,,,,,,,,,
Order of vaccine injection and infant pain response,vaccination,HiB,,Further investigation was required,,,,,,,,
Order of vaccine injection and infant pain response,Vaccination,polio,,Further investigation was required,,,,,,,,
Order of vaccine injection and infant pain response,Vaccination,tetanus,,Further investigation was required,,,,,,,,
Order of vaccine injection and infant pain response,Vaccination,pertussis,,Further investigation was required,,,,,,,,
Order of vaccine injection and infant pain response,Vaccination, Diptheria,,Further investigation was required,,,,,,,,
Immunogenicity and safety of intradermal versus intramuscular route of influenza immunization in infants less than 6 months of age: a randomized controlled trial,Vaccination,Influenza,,,,,,,,,,
Immunogenicity and safety of a liquid combination of DT-PRP-T vs lyophilized PRP-T reconstituted with DTP,Vaccination,pertussis,,further investigation was required,,,,,,,,
Immunogenicity and safety of a liquid combination of DT-PRP-T vs lyophilized PRP-T reconstituted with DTP,Vaccination,HiB,,further investigation was required,,,,,,,,
Immunogenicity and safety of a liquid combination of DT-PRP-T vs lyophilized PRP-T reconstituted with DTP,Vaccination,tetanus,,further investigation was required,,,,,,,,
Immunogenicity and safety of a liquid combination of DT-PRP-T vs lyophilized PRP-T reconstituted with DTP,Vaccination, Diptheria,,further investigation was required,,,,,,,,
"Augmenting immune responses to varicella zoster virus in older adults: a randomized, controlled trial of Tai Chi",Tai Chi,varicella zoster,,,,,,,,,,
Effectiveness of influenza vaccination in prevention of influenza-like illness among inhabitants of old folk homes,Vaccination,Influenza,,,,,,,,,,
[Clinical efficacy of sulbactam/ampicillin in comparison with cefotiam in the treatment of elderly patients with pneumonia]. [Japanese],Antibiotic vs antibiotic,pneumonia,,,,,,,,,,
The preventive effect of human interferon-alpha on influenza infection; modification of clinical manifestations of influenza in children in a closed community,interferon,Influenza,,,,,,,,,,
Pharmacokinetics and serum bactericidal titers of ciprofloxacin and ofloxacin following multiple oral doses in healthy volunteers,antibiotic vs antibiotic,Staph aureus,,Further investigation was required,,,,,,,,
Pharmacokinetics and serum bactericidal titers of ciprofloxacin and ofloxacin following multiple oral doses in healthy volunteers,antibiotic vs antibiotic,E. coli,,Further investigation was required,,,,,,,,
Pharmacokinetics and serum bactericidal titers of ciprofloxacin and ofloxacin following multiple oral doses in healthy volunteers,antibiotic vs antibiotic,Enterobacter ,,Further investigation was required,,,,,,,,
Pharmacokinetics and serum bactericidal titers of ciprofloxacin and ofloxacin following multiple oral doses in healthy volunteers,antibiotic vs antibiotic,pseudomonas,,Further investigation was required,,,,,,,,
Pharmacokinetics and serum bactericidal titers of ciprofloxacin and ofloxacin following multiple oral doses in healthy volunteers,Antibiotic vs antibiotic,Streptococcus pneumoniae,,Further investigation was required,,,,,,,,
[Therapeutic efficacy of amantadine hydrochloride in patients with epidemic influenza A virus infection]. [Review] [24 refs] [Japanese],Antivirals,Influenza,,,,,,,,,,
A Double-blind Clinical Study of Ketoprofen on Acute Upper Respiratory Infection -Comparison with Aspirin,NSAID,URTI,,,,,,,,,,
[Prophylactic efficacy of reaferon in viral hepatitis A and acute respiratory infections in children],interferon,ARI,,,,,,,,,,
Impact of Medicare reimbursement on influenza vaccination rates in the elderly,Vaccination,Influenza,,,,,,,,,,
"A pilot study of banxia houpu tang, a traditional Chinese medicine, for reducing pneumonia risk in older adults with dementia",Herbal,pneumonia,,,,,,,,,,
"Oral betamethasone versus intramuscular dexamethasone for the treatment of mild to moderate viral croup: a prospective, randomized trial",corticosteroid,croup,,,,,,,,,,
The traditional Chinese medicine banxia houpo tang improves swallowing reflex,Herbal,swallowing,,NOT ARI,,,,,,,,
Prevention of rheumatic fever. A comparative study of clindamycin palmitat and ampicillin in the treatment of group A beta hemolytic streptococcal pharyngitis,Antibiotic vs antibiotic,Pharyngitis,,,,,,,,,,
Streptococcal control in grade schools,infection control,streptococcal,,further investigation was required,,,,,,,,
Streptococcal control in grade schools,infection control,Pharyngitis,,further investigation was required,,,,,,,,
"Safety of a trivalent live attenuated intranasal influenza vaccine, FluMist, administered in addition to parenteral trivalent inactivated influenza vaccine to seniors with chronic medical conditions",Vaccination,Influenza,,,,,,,,,,
A randomized trial to determine the tolerability and immunogenicity of a quadrivalent meningococcal glycoconjugate vaccine in healthy adolescents,Vaccination,meningococcal,,,,,,,,,,
Immunogenicity of varying dosages of 7-valent pneumococcal polysaccharide-protein conjugate vaccine in seniors previously vaccinated with 23-valent pneumococcal polysaccharide vaccine,Vaccination,pneumococcal,,,,,,,,,,
Safety and effect on anti-Chlamydia pneumoniae antibody titres of a 1 month course of daily azithromycin in adults with coronary artery disease,Antibiotics,pneumonia,,,,,,,,,,
Erythropoietin therapy in children with bronchiolitis and anemia.[comment],EPO,bronchiolitis,,,,,,,,,,
A prospective randomized comparison of cefotaxime vs ampicillin and chloramphenicol for bacterial meningitis in children,Antibiotic vs antibiotic,Meningitis,,,,,,,,,,
Evaluation of cefaclor and amoxycillin in the treatment of acute otitis media,Antibiotic vs antibiotic,Otitis Media,,,,,,,,,,
"A double-blind, placebo-controlled, randomized trial of montelukast for acute bronchiolitis",LTRA,bronchiolitis,,,,,,,,,,
Clinical efficacy of dirithromycin in pneumonia,Antibiotics,pneumonia,,,,,,,,,,
A randomized controlled trial of penicillin vs clindamycin for the treatment of aspiration pneumonia in children. [see comments.],Antibiotic vs antibiotic,pneumonia,,,,,,,,,,
Use of a low-literacy patient education tool to enhance pneumococcal vaccination rates. A randomized controlled trial,Vaccination,pneumococcal,,,,,,,,,,
Evaluation of amoxicillin clavulanate twice daily versus thrice daily in the treatment of otitis media in children. Danish-Swedish Study Group,Antibiotics,Otitis Media,,,,,,,,,,
Safety and immunogenicity of a combined DTPa-IPV vaccine administered as a booster from 4 years of age: a review,Vaccination,polio,,,,,,,,,,
Safety and immunogenicity of a combined DTPa-IPV vaccine administered as a booster from 4 years of age: a review,Vaccination,pertussis,,,,,,,,,,
Safety and immunogenicity of a combined DTPa-IPV vaccine administered as a booster from 4 years of age: a review,Vaccination,tetanus,,,,,,,,,,
Safety and immunogenicity of a combined DTPa-IPV vaccine administered as a booster from 4 years of age: a review,Vaccination, Diptheria,,,,,,,,,,
"Randomized single-blind trial in general practice comparing the efficacy and palatability of two cough linctus preparations, 'Pholcolix' and 'Actifed' Compound, in children with acute cough",Nasal decongestant,cough,,,,,,,,,,
"Randomized single-blind trial in general practice comparing the efficacy and palatability of two cough linctus preparations, 'Pholcolix' and 'Actifed' Compound, in children with acute cough",Antihistamine,cough,,,,,,,,,,
A comparative study of talampicillin and ampicillin in general practice,Antibiotic vs antibiotic,ARI,,further investigation was required,,,,,,,,
Comparative study of cefaclor and amoxycillin in the treatment of respiratory tract infections in general practice,Antibiotic vs antibiotic,ARI,,,,,,,,,,
Influence of vitamins and trace-elements on the incidence of respiratory infection in the elderly,Trace elements,ARI,,,,,,,,,,
Influence of vitamins and trace-elements on the incidence of respiratory infection in the elderly,Vitamins,ARI,,,,,,,,,,
Haemophilus influenzae Diptheria protein conjugate immunization after therapy in splenectomized patients with Hodgkin disease,Vaccination,diptheria,,,,,,,,,,
Haemophilus influenzae Diptheria protein conjugate immunization after therapy in splenectomized patients with Hodgkin disease,Vaccination, HiB,,,,,,,,,,
"A randomized, crossover design study of the pharmacology of extended-spectrum fluoroquinolones for pneumococcal infections",Antibiotics,pneumococcal,,,,,,,,,,
Dexamethasone in croup. A controlled study,corticosteroid,croup,,,,,,,,,,
Comparison of conventional dosing versus continuous-infusion vancomycin therapy for patients with suspected or documented gram-positive infections,Antibiotics,Staph aureus,,Further investigation was required,,,,,,,,
The effect of humidified air in mild to moderate croup: evaluation using croup scores and respiratory inductance plethysmograph,humidified air,croup,,,,,,,,,,
Ribavirin effect on pulmonary function in young infants with respiratory syncytial virus bronchiolitis,antivirals,RSV,,,,,,,,,,
Ribavirin effect on pulmonary function in young infants with respiratory syncytial virus bronchiolitis,Antivirals,bronchiolitis,,,,,,,,,,
A randomized comparative study on the safety and efficacy of clarithromycin and erythromycin in treating community-acquired pneumonia,Antibiotic vs antibiotic,CAP,,,,,,,,,,
"A randomised, double-blind study on the efficacy of Tolpa Torf Preparation (TTP) in the treatment of recurrent respiratory tract infections",Immunomodulator,ARI,,,,,,,,,,
"Effects of influenza plus pneumococcal conjugate vaccination versus influenza vaccination alone in preventing respiratory tract infections in children: a randomized, double-blind, placebo-controlled trial",Vaccination,pneumococcal,,,,,,,,,,
"Effects of influenza plus pneumococcal conjugate vaccination versus influenza vaccination alone in preventing respiratory tract infections in children: a randomized, double-blind, placebo-controlled trial",Vaccination,Influenza,,,,,,,,,,
Adverse reactions to simultaneous influenza and pneumococcal conjugate vaccinations in children: randomized double-blind controlled trial,Vaccination,pneumococcal,,,,,,,,,,
Adverse reactions to simultaneous influenza and pneumococcal conjugate vaccinations in children: randomized double-blind controlled trial,Vaccination,Influenza,,,,,,,,,,
Double-blind comparison of azatadine maleate/pseudoephedrine sulphate syrup with placebo in relieving symptoms of the common cold,Nasal decongestant,Common cold,,,,,,,,,,
Double-blind comparison of azatadine maleate/pseudoephedrine sulphate syrup with placebo in relieving symptoms of the common cold,Antihistamine,Common cold,,,,,,,,,,
Linezolid for the treatment of children with bacteremia or nosocomial pneumonia caused by resistant gram-positive bacterial pathogens,Antibiotics,HAP,,,,,,,,,,
Trimethoprim and co-trimoxazole: a comparison of their use in respiratory tract infections,Antibiotic vs antibiotic,ARI,,,,,,,,,,
Trimethoprim-sulfamethoxazole in the treatment of bacterial infections: report of clinical trials in Japan,Antibiotics,Otitis Media,,Further investigation was required,,,,,,,,
"Primary prevention of acute respiratory tract infections in children using a bacterial immunostimulant: a double-masked, placebo-controlled clinical trial",Immunostimulant,ARI,,,,,,,,,,
"An open label, randomized comparative study of levofloxacin and amoxicillin/clavulanic acid in the treatment of purulent sinusitis in adult Thai patients",Antibiotic vs antibiotic,sinusitis,,,,,,,,,,
Evaluation of the efficacy of prednisolone in early wheezing induced by rhinovirus or respiratory syncytial virus,Corticosteroid,RSV,,,,,,,,,,
Evaluation of the efficacy of prednisolone in early wheezing induced by rhinovirus or respiratory syncytial virus,Corticosteroid,Wheeze,,,,,,,,,,
Evaluation of the efficacy of prednisolone in early wheezing induced by rhinovirus or respiratory syncytial virus,corticosteroid,Common cold,,,,,,,,,,
Efficacy of prednisolone in children hospitalized for recurrent wheezing,corticosteroid,Wheeze,,,,,,,,,,
Meropenem versus cefuroxime plus gentamicin for treatment of serious infections in elderly patients,Antibiotic vs antibiotic,pneumonia,,Further investigation was required,,,,,,,,
Novel treatment of atrophic rhinitis: early results,Novel treatment,Common cold,,,,,,,,,,
A comparison of ampicillin/sulbactam versus cefotaxime in the therapy of lower respiratory tract infections in hospitalized patients,Antibiotic vs antibiotic,LRTI,,,,,,,,,,
Effect of pseudoephedrine on nasal airflow in patients with nasal congestion associated with common cold,nasal decongestant,Common cold,,,,,,,,,,
Efficacy and safety of Ascoril expectorant and other cough formula in the treatment of cough management in paediatric and adult patients--a randomised double-blind comparative trial,Expectorant,Cough,,,,,,,,,,
"[Clinical double-blind trial with naproxensodium suspension and amoxicillin versus placebo and amoxicillin in the treatment of otitis, pharyngitis and tonsillitis in children]",antibiotics,pharyngitis,,,,,,,,,,
"[Clinical double-blind trial with naproxensodium suspension and amoxicillin versus placebo and amoxicillin in the treatment of otitis, pharyngitis and tonsillitis in children]",antibiotics,OM,,,,,,,,,,
"[Clinical double-blind trial with naproxensodium suspension and amoxicillin versus placebo and amoxicillin in the treatment of otitis, pharyngitis and tonsillitis in children]",NSAID,Pharyngitis,,,,,,,,,,
"[Clinical double-blind trial with naproxensodium suspension and amoxicillin versus placebo and amoxicillin in the treatment of otitis, pharyngitis and tonsillitis in children]",NSAID,Otitis Media,,,,,,,,,,
A comparison of Edmonston-B and Schwarz measles vaccine in Malian children,Vaccination,Measles,,,,,,,,,,
Failure of standard antimicrobial therapy in children aged 3-59 months with mild or asymptomatic HIV infection and severe pneumonia,Antibiotics,pneumonia,,,,,,,,,,
Respiratory system mechanics in patients receiving aerosolized ribavirin during mechanical ventilation for suspected respiratory syncytial viral infection,Antivirals,RSV,,,,,,,,,,
The quest for trials on the efficacy of human vaccines. Results of the handsearch of Vaccine,Vaccination,Hep A,,,,,,,,,,
The quest for trials on the efficacy of human vaccines. Results of the handsearch of Vaccine,Vaccination,influenza,,,,,,,,,,
The quest for trials on the efficacy of human vaccines. Results of the handsearch of Vaccine,Vaccination,HBV,,,,,,,,,,
"Evaluation of steroid therapy in tuberculous pleurisy - A prospective, randomized study",corticosteroid,pleurisy,,,,,,,,,,
Nerve growth factor is increased in bronchoalveolar lavage fluid after experimental rhinovirus infection [Abstract],QUERY,Common cold,,,,,,,,,,
The use of cefotaxime in the treatment of gram-positive pneumonias,Antibiotics,pneumonia,,,,,,,,,,
Cefazolin vs penicillin. Treatment of uncomplicated pneumococcal pneumonia,antibiotics,pneumococcal,,,,,,,,,,
Cefazolin vs penicillin. Treatment of uncomplicated pneumococcal pneumonia,Antibiotic vs antibiotic,pneumonia,,,,,,,,,,
Antibody response and persistence in volunteers following immunization with varying dosages of a trivalent surface antigen influenza virus vaccine,Vaccination,Influenza,,,,,,,,,,
Inactivated influenza virus vaccines in man: a comparative study of subunit and split vaccines using two methods for assessment of antibody responses,Vaccination,Influenza,,,,,,,,,,
Differences in reactogenicity and antigenicity of acellular and standard pertussis vaccines combined with Diptheria and tetanus in infants,Vaccination,tetanus,,,,,,,,,,
Differences in reactogenicity and antigenicity of acellular and standard pertussis vaccines combined with Diptheria and tetanus in infants,Vaccination,diptheria,,,,,,,,,,
Differences in reactogenicity and antigenicity of acellular and standard pertussis vaccines combined with Diptheria and tetanus in infants,Vaccination,pertussis,,,,,,,,,,
Mycoplasma pneumoniae infections in children. An epidemiologic appraisal in families treated with oxytetracycline,Antibiotics,pneumonia,,,,,,,,,,
Trials of Edmonston-Zagreb measles vaccine in Guinea-Bissau: serological responses following vaccination with Edmonston-Zagreb strain at 4-8 months versus vaccination with Schwarz strain at 9-12 months of age,Vaccination,Measles,,,,,,,,,,
[Doxycycline (Vibramycin) in the treatment of sinusitis]. [Danish],Antibiotics,sinusitis,,,,,,,,,,
Penicillin therapy in scarlet fever and complicating otitis,antibiotics,Otitis,,,,,,,,,,
Penicillin therapy in scarlet fever and complicating otitis,Antibiotics,scarlet fever,,,,,,,,,,
Comparison of the efficacy and safety between cefepime and ceftazidme in the treatment of the moderate to severe low-respiratory tract infection,Antibiotic vs antibiotic,LRTI,,,,,,,,,,
[Comparative study on cefdinir and cefaclor in the treatment of patients with mild to moderate bacterial community acquired pneumonia.],Antibiotic vs antibiotic,CAP,,,,,,,,,,
Studies on the pharmacodynamics and clinical usage of domestic intravenous preparation of ciprofloxacin lactate,Antibiotics,ARI,,Further investigation was required,,,,,,,,
"A multicentre clinical, study on domestic clarithromycin in the treatment of acute bacterial infections",Antibiotics,ARI,,Further investigation was required,,,,,,,,
"An open, comparative evaluation of amoxycillin and amoxycillin plus clavulanic acid ('Augmentin') in the treatment of bacterial pneumonia in children",Antibiotic vs antibiotic,pneumonia,,,,,,,,,,
Safety and immunogenicity of meningococcal A and C polysaccharide conjugate vaccine in adults,Vaccination,meningococcal,,,,,,,,,,
Successful immunization of infants at 6 months of age with high dose Edmonston-Zagreb measles vaccine. Cite Soleil/JHU Project Team,Vaccination,Measles,,,,,,,,,,
Efficacy of nebulised epinephrine versus salbutamol in hospitalised children with bronchiolitis,bronchodilator,bronchiolitis,,,,,,,,,,
Efficacy of nebulised epinephrine versus salbutamol in hospitalised children with bronchiolitis,adrenaline,bronchiolitis,,,,,,,,,,
Cefixime compared with amoxicillin for treatment of acute otitis media,Antibiotic vs antibiotic,Otitis Media,,,,,,,,,,
"A comparison of nebulized budesonide, intramuscular dexamethasone, and placebo for moderately severe croup. [see comments.]",corticosteroid,croup,,,,,,,,,,
Outpatient treatment of croup with nebulized dexamethasone. [see comments.],corticosteroid,croup,,,,,,,,,,
Ciprofloxacin versus cefuroxime axetil in the treatment of acute bacterial sinusitis. Sinusitis Infection Study Group,Antibiotic vs antibiotic,sinusitis,,,,,,,,,,
Sequential intravenous/oral ciprofloxacin compared with parenteral ceftriaxone in the treatment of hospitalized patients with community- acquired pneumonia,Antibiotic vs antibiotic,CAP,,,,,,,,,,
"Prospective randomised single-blind controlled trial of glacial acetic acid versus glacial acetic acid, neomycin sulphate and dexamethasone spray in otitis externa and infected mastoid cavities",antibiotic,otitis,,,,,,,,,,
"Prospective randomised single-blind controlled trial of glacial acetic acid versus glacial acetic acid, neomycin sulphate and dexamethasone spray in otitis externa and infected mastoid cavities",acetic acid,otitis,,,,,,,,,,
"Prospective randomised single-blind controlled trial of glacial acetic acid versus glacial acetic acid, neomycin sulphate and dexamethasone spray in otitis externa and infected mastoid cavities",corticosteroid,otitis,,,,,,,,,,
"A double-blind comparative study of ampicillin, co-trimoxazole and josamycin in anthraco-silicotic miners, assessed by transtracheal puncture",Antibiotic vs antibiotic,anthracosiliosis,,,,,,,,,,
Randomized comparison of amphotericin B deoxycholate dissolved in dextrose or Intralipid for the treatment of AIDS-associated cryptococcal meningitis,antifungal,Meningitis,,,,,,,,,,
Interchangeability of conjugated Haemophilus influenzae type b vaccines in infants. [see comments.],Vaccination, HiB,,,,,,,,,,
"Group C meningococcal vaccine trial: safety, immunogenicity and parents' views of participation",Vaccination,meningococcal,,,,,,,,,,
"Randomised controlled trial of combined Diptheria, tetanus, whole-cell pertussis vaccine administered in the same syringe and separately with Haemophilus influenzae type b vaccine at two, three and four months of age",Vaccination,HiB,,,,,,,,,,
"Randomised controlled trial of combined Diptheria, tetanus, whole-cell pertussis vaccine administered in the same syringe and separately with Haemophilus influenzae type b vaccine at two, three and four months of age",Vaccination,pertussis,,,,,,,,,,
"Randomised controlled trial of combined Diptheria, tetanus, whole-cell pertussis vaccine administered in the same syringe and separately with Haemophilus influenzae type b vaccine at two, three and four months of age",Vaccination,tetanus,,,,,,,,,,
"Randomised controlled trial of combined Diptheria, tetanus, whole-cell pertussis vaccine administered in the same syringe and separately with Haemophilus influenzae type b vaccine at two, three and four months of age",Vaccination, Diptheria,,,,,,,,,,
Relationship of risk factors and clinical outcomes in patients treated for acute otitis media,QUERY - do not include,Otitis Media,,,,,,,,,,
Single dose azithromycin is safe and effective in the treatment of acute otitis media,Antibiotics,Otitis Media,,,,,,,,,,
Gamma-globulin treatment of recurrent acute otitis media in children,immmunoglobulin,Otitis Media,,,,,,,,,,
"Double-blind, prospective, multicenter trial comparing ceftazidime with moxalactam in the treatment of serious gram-negative infections",Antibiotic vs antibiotic,ARI,,further investigation was required,,,,,,,,
Piperacillin/tazobactam plus tobramycin versus ceftazidime plus tobramycin for the treatment of patients with nosocomial lower respiratory tract infection. Piperacillin/tazobactam Nosocomial Pneumonia Study Group,Antibiotic vs antibiotic,LRTI,,,,,,,,,,
"Comparison of piperacillin/tazobactam and imipenem/cilastatin, both in combination with tobramycin, administered every 6 h for treatment of nosocomial pneumonia",Antibiotic vs antibiotic,pneumonia,,,,,,,,,,
"Preventing the Common coldwith a garlic supplement: a double-blind, placebo-controlled survey",garlic,Common cold,,,,,,,,,,
"Safety, tolerability and immunogenicity of low dose Haemophilus influenzae type b conjugated to the outer membrane protein complex of Neisseria meningitidis group B",Vaccination,neisseria meningitidis,,,,,,,,,,
"Safety, tolerability and immunogenicity of low dose Haemophilus influenzae type b conjugated to the outer membrane protein complex of Neisseria meningitidis group B",Vaccination, HiB,,,,,,,,,,
Single-dose ceftriaxone to eradicate pharyngeal Neisseria meningitidis,Antibiotics,Pharyngitis,,,,,,,,,,
"High-dose intravenous acyclovir in the treatment of zoster: a double-blind, placebo-controlled trial",Antivirals,herpes zoster,,,,,,,,,,
Clinical evaluation and a randomized comparative study of domestic ceftazidime,Antibiotics,ARI,,Further investigation was required,,,,,,,,
"A randomized, double-blind, placebo-controlled clinical trial of vitamin A in Mozambican children hospitalized with nonmeasles acute lower respiratory tract infections",vitamin A,LRTI,,,,,,,,,,
Effectiveness of Broncho-Vaxom in treatment of upper respiratory tract infections,Immunostimulant,URTI,,,,,,,,,,
Intranasal corticosteroid in the treatment of acute sinusitis,corticosteroid,sinusitis,,,,,,,,,,
Therapeutic effects of immunoglobulin in intensive care patients with severe infections,immmunoglobulin,ARI,,,,,,,,,,
[Immunogenicity of Vaccines. A Comparative Study of a Mumps-Measles-Rubella Vaccine Given with or without Oral Polio Vaccine],Vaccination,polio,,,,,,,,,,
[Immunogenicity of Vaccines. A Comparative Study of a Mumps-Measles-Rubella Vaccine Given with or without Oral Polio Vaccine],Vaccination,rubella,,,,,,,,,,
[Immunogenicity of Vaccines. A Comparative Study of a Mumps-Measles-Rubella Vaccine Given with or without Oral Polio Vaccine],Vaccination,mumps,,,,,,,,,,
[Immunogenicity of Vaccines. A Comparative Study of a Mumps-Measles-Rubella Vaccine Given with or without Oral Polio Vaccine],Vaccination,measles,,,,,,,,,,
"[Field trial with a new human diploid cell vaccine (HDCV) against measles, mumps and rubella]. [German]",Vaccination,mumps,,,,,,,,,,
"[Field trial with a new human diploid cell vaccine (HDCV) against measles, mumps and rubella]. [German]",Vaccination,rubella,,,,,,,,,,
"[Field trial with a new human diploid cell vaccine (HDCV) against measles, mumps and rubella]. [German]",Vaccination,measles,,,,,,,,,,
Immunogenicity and tolerability of an AS03(A)-adjuvanted prepandemic influenza vaccine: a phase III study in a large population of Asian adults,Vaccination,Influenza,,,,,,,,,,
A comparative safety and efficacy study of clarithromycin and erythromycin stearate in community-acquired pneumonia,Antibiotic vs antibiotic,CAP,,,,,,,,,,
Evaluation of a combined vaccine against measles-mumps-rubella produced on human diploid cells,Vaccination,mumps,,,,,,,,,,
Evaluation of a combined vaccine against measles-mumps-rubella produced on human diploid cells,Vaccination,rubella,,,,,,,,,,
Evaluation of a combined vaccine against measles-mumps-rubella produced on human diploid cells,Vaccination,measles,,,,,,,,,,
A/New Jersey/76 influenza vaccine trial in seronegative schoolchildren: comparison of a subunit vaccine with a whole-virus vaccine,Vaccination,Influenza,,,,,,,,,,
"A randomized controlled trial of ampicillin/sulbacatam, clindamycin or panipenem/betamiprom for the treatment of aspiration pneumonia [Abstract]",Antibiotic vs antibiotic,pneumonia,,,,,,,,,,
Five-day versus ten-day treatment of acute otitis media with cefprozil,Antibiotics,Otitis Media,,,,,,,,,,
